ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1642,58,34,152,92182,4,3.6,3,0,1,0,0,0,0
1652,62,36,158,94301,2,6.3,3,0,1,0,0,1,0
1653,48,18,182,92626,4,6.0,3,0,1,0,0,1,0
1667,51,25,190,95138,2,4.2,2,0,1,0,0,1,0
1705,46,22,198,95521,2,6.66666666666667,1,0,0,0,0,0,1
1825,49,23,194,94022,4,8.3,2,0,1,0,0,0,1
1826,56,32,161,94720,1,5.8,3,0,1,1,0,0,0
1885,57,33,163,94132,1,7.4,1,0,0,0,0,1,0
1891,52,27,184,90630,1,8.1,1,0,0,0,0,0,0
1938,51,25,181,95051,1,3.3,3,589,1,1,1,1,0
2006,47,23,170,90254,2,6.5,2,0,1,0,1,1,1
2015,49,19,169,95054,3,5.66666666666667,3,167,1,0,1,0,1
2039,50,24,150,94551,1,7.3,1,0,0,0,0,1,1
2062,63,38,159,93950,4,4.9,2,111,1,0,0,0,0
2088,51,27,188,94305,2,6.9,2,343,1,0,0,1,0
2096,47,21,174,94025,4,3.2,3,0,1,0,0,0,0
2110,47,23,178,93014,1,6.5,3,0,1,0,0,0,0
2150,48,22,150,95039,1,7.3,1,193,0,0,0,0,0
2185,62,36,183,90095,2,3.4,3,0,1,0,0,0,0
2197,51,24,189,95211,4,4.75,2,0,1,0,0,1,0
2218,48,24,162,91355,4,3.3,2,446,1,0,1,1,0
2251,46,22,154,93109,1,5.0,1,0,0,0,0,1,0
2378,47,23,160,92037,2,6.66666666666667,1,0,0,0,0,0,0
2383,46,20,185,94131,4,7.5,2,428,1,0,0,0,1
2401,61,36,169,91380,2,6.1,3,106,1,0,1,1,1
2491,52,28,168,90404,3,6.5,3,118,1,0,0,1,0
2503,58,31,178,92009,2,6.0,2,0,1,0,0,1,0
2523,63,37,145,94025,2,6.9,1,0,0,0,0,1,0
2568,58,33,142,92333,2,3.9,1,0,0,0,0,0,1
2587,47,23,149,92675,4,6.1,1,0,1,0,0,0,1
2591,46,20,152,95814,1,7.4,3,374,1,0,1,1,1
2594,48,23,161,96003,4,7.9,3,310,1,0,0,0,0
2598,47,23,163,92653,1,5.0,1,0,0,0,0,0,0
2603,52,26,161,93108,4,4.3,1,0,1,0,1,1,1
2679,63,38,148,93023,2,4.3,3,0,1,0,0,1,0
2715,46,20,158,92870,3,5.4,1,432,1,0,0,0,1
2722,58,33,173,92121,2,7.2,3,0,1,0,0,1,0
2754,54,27,195,93117,2,4.75,2,477,1,0,0,0,0
2774,63,37,185,94309,2,7.9,2,358,1,0,0,1,0
2780,59,35,168,95521,4,4.1,2,0,1,0,0,1,0
2788,60,34,152,92807,2,6.9,1,0,0,0,0,0,0
2803,52,22,154,90650,1,5.0,3,0,1,1,1,1,0
2813,53,28,183,96008,3,8.2,3,467,1,0,1,1,1
2853,54,29,183,93105,1,8.1,1,0,0,0,0,1,1
2957,62,38,195,91125,4,5.2,3,522,1,0,1,1,1
2989,46,21,205,95762,2,8.8,1,181,0,1,0,1,0
3006,62,36,148,94111,3,7.0,2,0,1,0,0,1,0
3007,62,37,169,95014,3,5.0,2,184,1,0,1,1,1
3048,57,33,149,95060,1,4.7,1,0,0,1,0,0,0
3061,64,38,168,94061,4,5.7,3,0,1,0,0,1,0
3271,50,23,179,94609,4,3.6,2,0,1,0,0,1,0
3277,55,31,159,92123,1,3.9,3,0,1,0,0,0,0
3313,47,22,190,94550,2,8.8,1,0,0,0,0,0,0
3465,61,37,172,92612,4,4.25,1,0,1,0,1,1,1
3484,60,36,195,90066,1,4.7,1,0,0,0,0,1,0
3574,60,36,165,90095,3,5.6,1,0,1,0,0,0,1
3609,59,35,202,94025,1,4.7,1,553,0,0,0,0,0
3616,58,34,149,95616,2,6.0,1,0,0,0,0,1,1
3640,51,26,191,94063,1,8.1,1,0,0,1,0,1,0
3689,51,26,179,90245,1,8.1,1,0,0,1,0,1,0
3703,50,25,160,93108,4,4.3,3,410,1,0,0,0,0
3741,59,35,174,92660,1,4.7,1,0,0,0,0,1,1
3759,47,23,199,94720,2,6.66666666666667,1,0,0,0,0,1,0
3805,47,22,203,95842,2,8.8,1,0,0,0,0,1,0
3823,63,33,178,91768,4,9.0,3,0,1,0,0,0,0
3897,48,24,224,93940,2,6.66666666666667,1,0,0,0,1,1,1
3920,64,34,179,90024,2,4.5,3,400,1,0,0,0,0
3944,61,36,188,91360,1,9.3,2,0,1,0,0,0,0
4009,61,31,154,94555,3,7.5,3,351,1,0,1,1,1
4021,58,32,191,93943,4,5.2,3,194,1,0,0,0,1
4088,52,28,179,94583,4,4.2,3,0,1,0,0,0,0
4148,59,35,180,96008,2,6.5,2,0,1,1,1,1,1
4154,50,26,148,94608,2,6.8,1,0,0,0,0,1,0
4168,48,24,144,94025,4,3.5,2,0,1,0,0,0,0
4217,60,35,173,90059,3,3.1,3,0,1,0,0,1,0
4259,52,26,155,92660,3,7.2,2,0,1,0,0,1,0
4260,52,26,158,94920,2,3.7,3,251,1,0,0,0,1
4268,52,26,194,91902,2,5.7,2,0,1,0,0,1,0
4277,50,24,155,92717,1,7.3,1,0,0,0,0,1,1
4293,63,37,191,94131,2,4.3,3,205,1,0,0,0,0
4295,58,34,150,92110,1,7.4,1,481,0,0,0,1,0
4311,65,41,170,94143,4,6.1,2,0,1,0,1,1,1
4329,64,38,143,95039,2,6.4,3,0,1,1,1,1,0
4332,61,37,158,94720,2,6.0,1,306,0,1,1,1,1
4345,53,28,181,95051,1,8.1,1,0,0,0,0,1,0
4421,62,38,149,92130,1,4.7,1,0,0,0,0,1,0
4423,57,31,164,94607,2,3.8,3,422,1,0,1,1,1
4481,55,30,145,92037,2,6.0,3,0,1,0,0,1,0
4630,48,24,148,91311,2,3.3,1,0,0,0,1,1,1
4643,65,40,143,95616,4,6.6,2,0,1,0,0,1,0
4740,62,38,174,94305,1,4.7,1,0,0,0,0,1,1
4756,59,35,151,93106,2,6.0,1,0,0,0,0,1,0
4823,60,36,149,92007,1,4.7,1,0,0,0,0,1,0
4843,49,23,174,95449,3,4.6,2,590,1,0,0,0,0
4874,59,35,165,94309,2,6.0,1,0,0,0,0,1,0
4912,46,22,153,94539,2,7.5,1,0,0,0,0,0,0
